Time in ms,flex1,flex2,flex3,flex4,flex5,flex6,Set,Labels
999,211,222,189,233,153,209,train,1.0
2027,173,155,123,187,147,196,train,1.0
3056,149,151,123,186,144,197,train,1.0
335,196,213,192,236,150,164,train,1.0
2183,150,153,112,164,119,193,train,1.0
2214,151,153,112,163,118,192,train,1.0
2339,150,153,112,163,119,191,train,1.0
2620,147,154,112,163,119,191,train,1.0
2588,148,153,112,163,118,191,train,1.0
818,215,223,191,233,158,215,train,1.0
968,228,220,186,234,156,224,train,1.0
1840,149,155,115,194,146,174,train,1.0
1216,240,216,177,235,155,225,train,1.0
1403,242,196,163,228,162,229,train,1.0
1777,241,203,165,240,168,218,test,1.0
1091,217,225,196,233,163,197,test,1.0
2620,117,147,119,175,124,182,test,1.0
1216,207,223,194,233,163,202,test,1.0
2776,117,149,115,176,124,184,test,1.0
2414,142,162,121,168,98,189,train,1.0
2661,148,163,123,169,101,190,train,1.0
2172,136,157,118,166,95,185,train,1.0
2879,151,166,123,171,101,192,train,1.0
2505,145,162,121,169,99,189,train,1.0
2588,135,149,126,185,146,192,train,1.0
2838,140,152,128,187,147,193,train,1.0
2339,131,146,125,183,145,187,train,1.0
3088,140,152,127,188,148,193,train,1.0
2682,138,151,126,187,147,193,train,1.0
2564,152,173,104,134,111,81,train,1.0
3348,155,175,105,134,111,83,train,1.0
3076,154,175,105,134,111,84,train,1.0
3528,156,175,105,135,111,84,train,1.0
2684,156,173,106,134,111,81,train,1.0
2512,133,176,107,133,117,103,test,1.0
3005,137,179,108,133,118,98,test,1.0
2481,135,175,107,133,117,104,test,1.0
2884,137,178,108,135,118,103,test,1.0
2232,132,171,104,133,116,109,test,1.0
2953,147,179,104,140,110,79,train,1.0
2048,144,177,103,138,111,79,train,1.0
2711,147,180,103,139,109,77,train,1.0
2982,147,181,104,140,111,77,train,1.0
2590,147,181,103,139,111,76,train,1.0
2941,141,179,103,142,110,75,train,1.0
2580,139,178,104,142,109,75,train,1.0
2822,141,179,104,141,108,76,train,1.0
2640,138,178,102,139,109,75,train,1.0
2369,140,180,103,140,110,75,train,1.0
2775,124,173,102,137,126,156,test,1.0
2587,127,173,104,137,126,156,test,1.0
2307,126,169,109,133,126,159,test,1.0
2556,125,172,103,136,125,160,test,1.0
2837,128,174,104,139,126,157,test,1.0
4039,146,179,104,154,136,95,train,1.0
3918,143,182,104,153,136,97,train,1.0
2184,138,177,100,145,133,103,train,1.0
3495,143,179,104,152,135,97,train,1.0
2338,139,178,103,146,133,99,train,1.0
2510,137,168,99,144,139,111,train,1.0
2328,138,169,98,143,139,112,train,1.0
2057,135,168,95,141,138,113,train,1.0
2298,136,168,97,143,138,115,train,1.0
2571,137,169,98,144,138,116,train,1.0
2551,131,173,94,137,131,90,train,1.0
2784,131,172,97,138,132,91,train,1.0
2318,129,172,96,136,131,84,train,1.0
3017,131,174,97,136,133,91,train,1.0
2638,134,172,95,136,131,88,train,1.0
2638,138,168,100,137,126,94,train,1.0
2668,136,169,100,139,127,91,train,1.0
2789,138,169,100,138,126,91,train,1.0
3059,138,169,102,139,125,89,train,1.0
3031,138,171,99,140,125,88,train,1.0
3411,149,192,106,131,106,18,train,1.0
2749,149,193,105,128,106,24,train,1.0
4162,152,194,107,135,112,69,train,1.0
2869,148,192,106,131,106,24,train,1.0
4342,154,194,107,134,113,87,train,1.0
2849,140,191,114,139,111,80,train,1.0
2488,139,191,115,137,112,80,train,1.0
2336,138,190,114,136,109,79,train,1.0
2879,141,191,113,137,112,80,train,1.0
2216,138,193,113,135,112,79,train,1.0
2211,139,183,101,132,102,90,train,1.0
2363,139,183,101,131,104,90,train,1.0
2543,142,182,101,130,106,91,train,1.0
2242,139,182,101,131,102,91,train,1.0
2453,140,181,101,130,105,91,train,1.0
2589,151,190,107,134,103,92,test,1.0
3494,151,189,111,138,102,97,test,1.0
3464,152,189,109,138,102,97,test,1.0
2378,152,191,106,133,104,96,test,1.0
3343,154,189,109,135,103,95,test,1.0
4025,136,171,101,142,107,67,train,1.0
4203,137,169,100,141,106,64,train,1.0
2493,132,168,98,135,105,71,train,1.0
3787,136,170,102,139,104,70,train,1.0
2638,131,169,99,136,104,70,train,1.0
3320,148,173,99,127,103,94,train,1.0
3978,152,175,100,127,102,97,train,1.0
4159,154,174,100,128,104,95,train,1.0
3111,147,174,100,125,100,90,train,1.0
4038,152,176,102,129,103,93,train,1.0
1403,231,181,158,232,158,197,train,1.0
396,206,218,192,231,150,154,train,1.0
1434,230,180,148,232,157,197,train,1.0
757,225,220,189,231,152,182,train,1.0
697,223,222,189,232,151,189,train,1.0
3463,156,164,132,210,147,158,train,1.0
3368,156,164,133,209,148,157,train,1.0
3338,155,164,132,208,148,156,train,1.0
3681,158,165,134,210,148,159,train,1.0
2995,152,163,131,208,147,155,train,1.0
2620,179,178,142,214,158,157,train,1.0
3150,178,177,144,214,159,157,train,1.0
3088,178,177,145,214,159,157,train,1.0
2651,178,178,144,214,159,156,train,1.0
2870,175,177,143,213,158,154,train,1.0
908,228,221,178,228,149,205,train,1.0
244,198,222,197,233,148,166,train,1.0
1746,104,169,148,209,125,109,train,1.0
365,199,222,195,233,149,179,train,1.0
1902,102,169,140,192,120,113,train,1.0
4274,155,159,136,194,133,155,train,1.0
4679,157,160,137,195,135,156,train,1.0
4242,156,159,138,193,135,155,train,1.0
4772,157,159,138,194,136,155,train,1.0
4179,156,158,137,193,133,153,train,1.0
1965,147,162,145,226,142,168,train,1.0
1996,148,162,143,225,143,168,train,1.0
2214,150,164,144,225,140,169,train,1.0
2120,150,163,144,225,141,170,train,1.0
2058,149,163,143,226,141,170,train,1.0
2995,130,176,139,208,134,134,train,1.0
2557,127,174,140,207,133,135,train,1.0
2838,129,175,141,207,135,134,train,1.0
2620,129,174,141,208,133,134,train,1.0
2339,126,173,140,206,133,132,train,1.0
4336,154,154,130,217,130,164,train,1.0
3088,150,152,128,217,129,161,train,1.0
4617,155,154,130,216,131,163,train,1.0
4274,154,153,129,216,130,163,train,1.0
3275,150,153,128,216,131,161,train,1.0
2277,129,142,121,183,126,154,test,1.0
2433,130,142,121,186,127,155,test,1.0
2620,131,143,122,185,127,155,test,1.0
2308,127,143,120,184,125,154,test,1.0
2527,128,144,121,186,129,155,test,1.0
2557,147,152,133,188,131,153,train,1.0
3088,152,154,135,189,132,154,train,1.0
3025,150,154,134,189,132,154,train,1.0
2588,146,151,134,188,132,152,train,1.0
2807,148,153,134,188,132,153,train,1.0
1652,233,209,182,234,156,211,test,1.0
968,222,226,190,233,153,178,test,1.0
2495,139,168,142,213,139,142,test,1.0
1091,227,226,189,233,154,200,test,1.0
2682,145,169,142,216,141,145,test,1.0
3493,149,173,143,206,143,142,train,1.0
3899,153,173,143,208,144,143,train,1.0
3463,149,172,144,205,145,141,train,1.0
3993,152,173,144,207,144,144,train,1.0
3400,148,172,143,206,143,143,train,1.0
1902,131,151,120,173,117,151,train,1.0
1934,130,151,120,174,117,148,train,1.0
2058,130,151,120,175,115,150,train,1.0
2339,132,152,121,174,116,148,train,1.0
2308,130,152,120,174,117,148,train,1.0
396,206,225,198,237,157,191,train,1.0
1341,240,188,166,228,158,203,train,1.0
576,215,226,197,236,157,201,train,1.0
275,205,224,199,236,155,176,train,1.0
1652,119,175,122,216,146,115,train,1.0
2838,154,157,137,197,132,126,test,1.0
3244,159,159,138,199,134,128,test,1.0
2807,155,157,138,197,132,125,test,1.0
3338,159,158,138,200,134,128,test,1.0
2745,155,156,137,195,131,126,test,1.0
2981,106,212,153,122,67,111,test,2.0
2318,105,211,152,123,66,112,test,2.0
2710,106,212,152,122,66,111,test,2.0
2831,106,212,154,123,66,112,test,2.0
2409,105,211,152,123,66,111,test,2.0
2890,106,206,147,103,54,116,train,2.0
2468,106,206,149,103,52,115,train,2.0
2740,108,206,148,104,54,115,train,2.0
2529,106,206,147,104,53,115,train,2.0
2256,105,204,149,103,52,114,train,2.0
4177,137,152,122,115,82,99,train,2.0
3534,137,149,121,115,82,92,train,2.0
5092,138,151,122,113,79,97,train,2.0
2894,139,154,123,117,83,88,train,2.0
4740,138,153,123,115,80,98,train,2.0
3842,115,141,115,129,84,99,train,2.0
3197,115,141,114,129,84,98,train,2.0
4748,116,140,114,128,83,98,train,2.0
2557,114,140,114,129,83,91,train,2.0
4397,114,142,114,128,84,98,train,2.0
3300,115,125,126,129,86,67,train,2.0
2776,106,118,126,128,87,76,train,2.0
3736,127,131,127,130,89,75,train,2.0
4698,136,134,131,131,91,88,train,2.0
2135,112,124,128,129,87,85,train,2.0
4584,104,144,118,123,109,69,train,2.0
4041,104,138,118,123,109,68,train,2.0
5037,108,144,118,123,109,71,train,2.0
5550,111,152,118,124,110,72,train,2.0
3378,101,137,120,120,109,66,train,2.0
5979,137,115,127,137,98,89,train,2.0
5152,126,130,119,115,92,68,train,2.0
5590,134,112,124,134,101,73,train,2.0
5064,127,136,123,115,93,66,train,2.0
7630,136,125,122,134,98,50,train,2.0
2052,92,160,137,144,55,115,test,2.0
2170,93,161,138,145,57,114,test,2.0
2412,94,163,138,145,56,114,test,2.0
2381,94,162,137,145,55,114,test,2.0
1848,91,159,136,144,54,114,test,2.0
2608,92,174,138,121,62,115,train,2.0
1844,91,169,136,121,61,116,train,2.0
2636,94,173,139,121,63,115,train,2.0
2077,91,170,137,120,63,115,train,2.0
2251,92,171,137,120,62,115,train,2.0
2065,129,199,135,102,54,129,train,2.0
1884,129,198,136,102,55,127,train,2.0
1612,128,197,136,100,55,128,train,2.0
1853,128,198,135,103,55,128,train,2.0
2124,129,199,136,104,55,127,train,2.0
2887,124,199,130,117,67,131,test,2.0
2977,125,199,132,118,66,130,test,2.0
2013,123,198,130,114,66,137,test,2.0
2284,124,199,129,116,66,134,test,2.0
2797,123,199,131,118,67,131,test,2.0
1648,128,209,173,107,64,127,train,2.0
1679,128,209,173,109,63,130,train,2.0
1890,129,210,174,111,65,128,train,2.0
1800,130,209,173,111,64,127,train,2.0
1739,129,208,173,111,63,128,train,2.0
1924,111,210,151,129,56,117,train,2.0
1954,110,210,151,131,55,117,train,2.0
2075,111,211,151,131,56,119,train,2.0
2376,112,211,150,132,56,119,train,2.0
2255,112,210,150,130,57,117,train,2.0
2920,96,184,149,137,81,117,train,2.0
2558,96,183,151,137,81,117,train,2.0
2800,96,184,148,138,79,118,train,2.0
2619,97,183,150,136,79,118,train,2.0
2348,95,183,150,137,80,118,train,2.0
3159,113,208,148,111,63,121,train,2.0
2737,113,207,147,111,64,120,train,2.0
2766,113,208,147,110,64,120,train,2.0
3279,113,209,147,112,64,121,train,2.0
3038,113,208,147,112,63,120,train,2.0
2412,143,220,157,117,78,133,test,2.0
2563,145,218,158,118,76,133,test,2.0
2442,144,218,158,117,77,134,test,2.0
2804,144,220,157,118,78,132,test,2.0
2170,144,218,157,116,77,132,test,2.0
2045,158,202,155,123,81,125,train,2.0
2438,157,203,156,124,84,126,train,2.0
2287,157,203,155,124,82,127,train,2.0
2076,157,202,157,123,81,125,train,2.0
2498,159,203,156,123,84,128,train,2.0
2230,140,202,133,114,73,139,train,2.0
2712,139,206,134,115,74,137,train,2.0
2200,140,202,134,112,73,139,train,2.0
2592,141,203,134,114,76,138,train,2.0
1958,140,200,132,113,71,139,train,2.0
1768,141,216,144,120,79,120,train,2.0
1799,141,216,145,119,80,119,train,2.0
1918,141,216,144,121,79,121,train,2.0
2221,141,216,144,122,78,121,train,2.0
2100,141,217,144,121,80,120,train,2.0
3145,157,220,135,125,84,135,train,2.0
2753,157,220,133,126,82,134,train,2.0
2783,156,220,134,125,83,134,train,2.0
3115,157,220,134,126,84,134,train,2.0
3054,157,220,133,126,83,135,train,2.0
3467,121,208,148,145,91,132,train,2.0
3075,119,208,148,145,92,133,train,2.0
3104,119,208,150,144,91,134,train,2.0
3436,121,209,149,144,92,133,train,2.0
3376,121,209,149,144,92,134,train,2.0
3168,132,203,133,129,88,126,train,2.0
2806,132,203,133,128,87,125,train,2.0
3047,131,204,134,128,89,125,train,2.0
2867,132,203,132,128,86,125,train,2.0
2595,131,203,132,128,87,124,train,2.0
2318,143,207,140,134,90,128,test,2.0
1927,142,206,141,130,89,127,test,2.0
2257,144,206,142,133,90,128,test,2.0
2167,144,206,141,131,90,128,test,2.0
1986,143,206,141,131,89,128,test,2.0
2461,146,216,143,125,76,128,train,2.0
2099,146,215,142,123,75,128,train,2.0
2340,146,215,142,123,76,129,train,2.0
2159,146,216,142,122,76,128,train,2.0
1888,145,215,142,121,76,127,train,2.0
2231,136,198,129,121,78,127,train,2.0
2262,135,197,129,121,78,128,train,2.0
2472,134,198,130,121,80,128,train,2.0
2381,134,199,130,121,79,126,train,2.0
2321,135,199,129,122,77,127,train,2.0
2161,121,189,125,114,70,134,test,2.0
2312,120,190,124,115,71,133,test,2.0
2191,122,189,125,113,71,133,test,2.0
2553,122,191,125,116,73,131,test,2.0
1920,119,185,123,114,70,133,test,2.0
2140,117,200,132,125,80,123,train,2.0
2652,118,202,134,125,82,125,train,2.0
2592,117,202,133,127,81,125,train,2.0
2169,115,200,133,124,80,124,train,2.0
2380,117,201,134,126,79,126,train,2.0
2082,132,209,138,132,83,121,train,2.0
2323,133,210,140,131,82,122,train,2.0
1841,130,209,139,129,83,119,train,2.0
2535,131,211,140,131,83,120,train,2.0
2172,132,209,140,131,84,120,train,2.0
2891,117,205,143,128,73,142,train,2.0
2530,116,203,145,127,73,143,train,2.0
2770,118,204,145,128,73,143,train,2.0
2589,117,204,145,127,73,141,train,2.0
2318,116,202,146,126,73,142,train,2.0
2070,156,219,139,136,85,131,train,2.0
2311,156,219,140,137,85,131,train,2.0
1828,156,217,140,135,84,130,train,2.0
2552,157,218,141,137,87,132,train,2.0
2160,156,218,141,135,85,131,train,2.0
1637,135,202,160,134,50,116,train,2.0
1758,134,202,160,135,52,116,train,2.0
1999,134,202,161,135,52,115,train,2.0
1969,133,202,160,136,51,117,train,2.0
1426,136,199,159,132,49,115,train,2.0
2299,95,182,122,134,81,133,test,2.0
2765,99,185,124,136,83,133,test,2.0
2271,94,183,122,134,81,132,test,2.0
2649,97,185,122,135,82,132,test,2.0
2037,92,181,122,131,81,132,test,2.0
1911,161,175,139,112,47,120,train,2.0
2424,161,178,142,115,49,118,train,2.0
2364,161,178,142,113,49,117,train,2.0
1942,160,175,139,112,47,121,train,2.0
2153,160,176,140,114,48,120,train,2.0
3392,105,212,145,148,93,126,train,2.0
2969,103,212,146,148,92,126,train,2.0
3240,105,213,145,149,92,127,train,2.0
3030,104,213,145,148,93,126,train,2.0
2758,102,211,145,147,92,125,train,2.0
2072,116,163,151,113,62,116,test,2.0
2102,115,164,151,113,61,114,test,2.0
2313,116,165,151,114,61,115,test,2.0
2223,116,164,151,113,63,115,test,2.0
2162,116,164,151,112,62,115,test,2.0
1924,104,201,160,125,56,119,train,2.0
2316,105,203,159,128,56,120,train,2.0
2165,105,203,159,126,56,120,train,2.0
1954,104,202,159,126,55,120,train,2.0
2376,105,203,160,127,56,118,train,2.0
1863,104,181,150,135,60,122,train,2.0
2014,104,184,150,137,61,122,train,2.0
1893,104,181,150,136,61,122,train,2.0
2254,104,185,150,138,61,123,train,2.0
1622,105,178,152,132,59,122,train,2.0
2169,90,197,135,140,84,119,train,2.0
2199,90,196,137,141,85,119,train,2.0
2315,91,197,137,140,86,120,train,2.0
2581,92,198,137,140,86,119,train,2.0
2551,91,198,136,140,85,119,train,2.0
1582,101,200,164,134,92,129,train,2.0
1612,102,200,164,133,92,130,train,2.0
1733,103,200,164,135,91,129,train,2.0
2034,104,201,163,133,91,130,train,2.0
1913,103,201,165,134,92,129,train,2.0
3571,101,205,169,158,64,127,train,2.0
3179,100,204,169,157,64,125,train,2.0
3210,100,206,169,157,64,125,train,2.0
3542,101,205,170,157,64,126,train,2.0
3481,101,205,169,157,64,126,train,2.0
2549,104,194,166,109,63,127,train,2.0
2187,103,193,164,107,60,130,train,2.0
2428,104,195,165,110,63,129,train,2.0
2247,103,194,165,107,62,128,train,2.0
1976,103,190,161,106,61,131,train,2.0
1982,114,207,179,135,80,132,train,2.0
2134,114,207,179,134,80,132,train,2.0
2314,114,207,179,135,81,132,train,2.0
2013,113,207,179,134,80,133,train,2.0
2224,114,207,179,134,81,132,train,2.0
3173,101,199,142,131,78,121,test,2.0
2781,101,198,143,130,77,122,test,2.0
